Rk,I,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1162,,Batting 9th,1997,12153,4532,17496,15512,1534,3358,649,63,205,1433,165,103,1055,3926,.216,.270,.306,.576,4748,289,108,725,94,25,204,.275,,
1163,,Bat1-2non-P,1997,10130,9064,42432,37602,5866,10350,1931,318,713,3768,1524,616,3760,6148,.275,.345,.400,.745,15056,652,371,427,272,92,479,.311,,
1164,,Batting 6th,1997,5682,4532,19048,17025,2171,4577,874,69,610,2475,253,143,1620,3315,.269,.335,.436,.771,7419,399,167,73,160,142,210,.299,,
1165,,Batting 6th,1998,6235,4864,20458,18344,2333,4878,996,101,598,2504,291,163,1735,3597,.266,.333,.429,.762,7870,481,170,65,141,141,236,.300,,
1166,,Batting 7th,1998,6209,4864,19893,17893,2076,4549,926,85,490,2248,220,134,1559,3579,.254,.318,.398,.715,7115,454,179,100,160,114,177,.290,,
1167,,Batting 5th,1998,6065,4864,20965,18722,2680,5137,1049,86,767,3071,250,151,1893,3496,.274,.342,.463,.805,8659,437,131,35,182,157,213,.298,,
1168,,Batting 2nd,1998,5763,4864,22470,19975,3108,5494,1054,138,463,2225,588,221,1893,3217,.275,.342,.411,.753,8213,426,204,252,145,31,274,.306,,
1169,,Batting 3rd,1998,5561,4864,21965,19181,3267,5572,1051,115,850,3117,395,150,2370,3413,.290,.370,.490,.860,9403,496,172,46,193,186,237,.312,,
1170,,Bat1-2non-P,1998,10853,9728,45444,40308,6323,11043,2027,307,843,4065,1520,544,4006,6483,.274,.344,.402,.747,16213,672,449,435,241,72,542,.307,,
1171,,Batting 8th,1998,6430,4864,19336,17299,1904,4272,846,87,367,2036,170,123,1509,3428,.247,.311,.370,.681,6393,389,173,212,140,169,198,.286,,
1172,,Batting 9th,1998,12863,4864,18741,16569,1678,3542,688,64,215,1481,172,104,1144,4275,.214,.268,.302,.570,5003,307,130,799,97,19,192,.273,,
1173,,Batting 1st,1998,5555,4864,22987,20344,3219,5551,974,169,381,1844,934,323,2113,3271,.273,.347,.394,.740,8006,246,245,185,96,41,268,.308,,
1174,,Bat3-6non-P,1998,22245,19456,84825,75008,11278,21080,4253,356,3148,12246,1191,597,8229,14110,.281,.354,.473,.827,35489,1881,656,157,764,693,881,.306,,
1175,,Bat7-9non-P,1998,17935,11996,51617,46331,5281,11566,2339,225,1053,5484,541,348,3954,9232,.250,.313,.378,.691,17514,1076,464,476,386,302,505,.289,,
1176,,Batting 4th,1998,5609,4864,21465,18789,3032,5494,1157,54,933,3554,264,136,2231,3617,.292,.369,.509,.877,9558,468,183,11,248,209,195,.315,,
1177,,Batting 4th,1999,5620,4856,21610,18883,3184,5469,1092,83,1019,3682,278,131,2315,3585,.290,.370,.518,.888,9784,473,199,12,201,190,197,.307,,
1178,,Batting 7th,1999,6250,4856,20031,17895,2258,4646,892,97,582,2438,232,130,1714,3625,.260,.328,.418,.745,7478,472,168,102,151,122,211,.294,,
1179,,Batting 5th,1999,6003,4856,21092,18571,2863,5281,1043,84,818,3153,261,151,2157,3361,.284,.361,.482,.843,8946,440,165,21,176,159,189,.306,,
1180,,Bat7-9non-P,1999,18044,11978,52167,46453,5700,11968,2258,263,1184,5813,669,342,4437,8998,.258,.326,.394,.720,18304,1162,443,426,403,355,586,.294,,
1181,,Bat1-2non-P,1999,10829,9712,45860,40650,6670,11291,2125,337,903,4419,1513,605,4111,6394,.278,.347,.413,.760,16799,720,368,423,302,84,517,.309,,
1182,,Batting 1st,1999,5603,4856,23222,20569,3442,5692,1079,188,412,2024,1024,393,2157,3236,.277,.349,.408,.756,8383,278,195,156,142,55,263,.309,,
1183,,Batting 2nd,1999,5754,4856,22658,20098,3235,5601,1046,149,492,2399,492,213,1954,3169,.279,.345,.419,.764,8421,442,173,270,160,29,254,.308,,
