Rk,I,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
348,I,as 3B,1933,2316,,10076,8994,1174,2399,398,95,78,984,100,86,839,699,.267,.332,.358,.690,3221,184,43,199,0,18,207,.282,,
349,I,as C,1933,2316,,9231,8290,879,2215,352,55,94,1055,55,45,775,572,.267,.332,.357,.689,2959,235,35,131,0,72,140,.278,,
350,I,as RF,1933,2316,,10251,9155,1335,2665,485,120,175,1337,116,112,910,722,.291,.358,.428,.786,3915,130,47,139,0,47,184,.302,,
351,I,as SS,1933,2316,,9611,8667,1047,2260,390,102,64,921,79,94,728,713,.261,.321,.351,.672,3046,186,37,178,0,32,182,.278,,
352,I,Other,1933,11,,12,9,3,1,0,0,0,3,0,0,2,2,.111,.273,.111,.384,1,0,0,1,0,0,0,.143,,
353,I,Other,1934,9,,9,9,6,3,1,0,0,5,0,0,0,0,.333,.333,.444,.778,4,1,0,0,0,0,0,.333,,
354,I,as RF,1934,2312,,10265,9194,1420,2665,469,118,163,1255,128,98,919,791,.290,.357,.420,.777,3859,147,43,109,0,52,193,.304,,
355,I,as SS,1934,2312,,10058,9027,1296,2501,437,98,100,1103,112,85,821,782,.277,.340,.380,.720,3434,190,34,176,0,40,166,.295,,
356,I,as CF,1934,2312,,10323,9265,1436,2767,491,121,157,1194,140,113,885,764,.299,.362,.429,.791,3971,156,41,132,0,44,201,.313,,
357,I,as PH,1934,1230,,2108,1881,215,468,88,19,24,339,2,5,209,302,.249,.327,.354,.681,666,49,9,8,0,16,33,.286,,
358,,as PR,1934,,,,,105,,,,,,2,2,,,,,,,,,,,,,,,,
359,I,as 1B,1934,2312,,10153,9010,1460,2736,526,107,297,1588,75,60,1013,762,.304,.376,.485,.861,4367,178,29,99,0,84,156,.307,,
360,I,as 2B,1934,2312,,10212,9162,1298,2536,450,75,92,1106,119,75,856,666,.277,.341,.372,.713,3412,198,33,161,0,35,188,.291,,
361,I,as Infield,1934,2312,,49666,44550,6182,12537,2295,443,706,5859,487,341,4263,3801,.281,.346,.400,.747,17836,1000,173,677,0,301,870,.295,,
362,I,as LF,1934,2312,,10278,9337,1407,2842,527,108,188,1385,99,74,798,762,.304,.362,.444,.806,4149,197,38,102,0,54,149,.316,,
363,I,as 3B,1934,2312,,10019,9026,1247,2506,465,110,110,1062,131,84,820,887,.278,.340,.390,.730,3521,193,36,136,0,38,208,.298,,
364,I,as C,1934,2312,,9224,8325,881,2258,417,53,107,1000,50,37,753,704,.271,.335,.373,.707,3102,241,41,105,0,104,152,.286,,
365,I,as Outfield,1934,2312,,30866,27796,4263,8274,1487,347,508,3834,367,285,2602,2317,.298,.360,.431,.791,11979,500,122,343,0,150,543,.311,,
