,Split,Year,OPS,MLB_OPS
1114,as 2B,2018,0.714,0.728
1115,as 3B,2018,0.764,0.728
1116,as 2B,2019,0.737,0.758
1117,as 3B,2019,0.798,0.758
1118,as 1B,2019,0.8,0.758
1119,as C,2019,0.717,0.758
1120,as CF,2019,0.747,0.758
1121,as DH,2019,0.782,0.758
1122,as LF,2019,0.79,0.758
1123,as P,2019,0.322,0.758
1124,as PH,2019,0.708,0.758
1125,as RF,2019,0.8,0.758
1126,as SS,2019,0.772,0.758
1127,as SS,2020,0.748,0.74
1128,as LF,2020,0.757,0.74
1129,as 1B,2020,0.786,0.74
1130,as 2B,2020,0.692,0.74
1131,as 3B,2020,0.755,0.74
1132,as C,2020,0.706,0.74
1133,as CF,2020,0.734,0.74
1134,as DH,2020,0.723,0.74
1135,as RF,2020,0.764,0.74
1136,as P,2020,0.298,0.74
1137,as PH,2020,0.629,0.74
1138,as 1B,2021,0.792,0.728
1139,as SS,2021,0.736,0.728
1140,as LF,2021,0.737,0.728
1141,as 2B,2021,0.731,0.728
1142,as 3B,2021,0.741,0.728
1143,as P,2021,0.293,0.728
1144,as PH,2021,0.652,0.728
1145,as C,2021,0.697,0.728
1146,as CF,2021,0.721,0.728
1147,as DH,2021,0.75,0.728
1148,as RF,2021,0.774,0.728
1149,as RF,2022,0.714,0.706
1150,as LF,2022,0.725,0.706
1151,as 1B,2022,0.746,0.706
1152,as SS,2022,0.692,0.706
1153,as C,2022,0.663,0.706
1154,as CF,2022,0.688,0.706
1155,as DH,2022,0.71,0.706
1156,as 2B,2022,0.699,0.706
1157,as 3B,2022,0.725,0.706
1158,as P,2022,0.631,0.706
1159,as PH,2022,0.645,0.706
1160,as P,2023,0.46,0.734
1161,as PH,2023,0.659,0.734
1162,as LF,2023,0.751,0.734
1163,as RF,2023,0.754,0.734
1164,as 1B,2023,0.775,0.734
1165,as 2B,2023,0.724,0.734
1166,as 3B,2023,0.719,0.734
1167,as SS,2023,0.713,0.734
1168,as C,2023,0.697,0.734
1169,as CF,2023,0.73,0.734
1170,as DH,2023,0.756,0.734
1171,as C,2024,0.678,0.711
1172,as CF,2024,0.697,0.711
1173,as DH,2024,0.742,0.711
1174,as RF,2024,0.734,0.711
1175,as LF,2024,0.714,0.711
1176,as P,2024,0.442,0.711
1177,as PH,2024,0.64,0.711
1178,as SS,2024,0.728,0.711
1179,as 1B,2024,0.736,0.711
1180,as 2B,2024,0.684,0.711
1181,as 3B,2024,0.701,0.711
